LL_xmag,LL_ymag,LL_zmag,activity,individual,set
0.80032,0.43725,-0.16628,a09,p1,s01
0.80452,0.42985,-0.15922,a09,p1,s01
0.81052,0.42296,-0.14864,a09,p1,s01
0.81665,0.41216,-0.14415,a09,p1,s01
0.82285,0.39656,-0.14316,a09,p1,s01
0.83126,0.38576,-0.13552,a09,p1,s01
0.83926,0.37163,-0.12526,a09,p1,s01
0.84728,0.35382,-0.11725,a09,p1,s01
0.85537,0.33705,-0.11156,a09,p1,s01
0.86079,0.32459,-0.10655,a09,p1,s01
0.86496,0.31587,-0.09291,a09,p1,s01
0.87294,0.30239,-0.08459,a09,p1,s01
0.87606,0.2881,-0.076021,a09,p1,s01
0.88209,0.27134,-0.073993,a09,p1,s01
0.88824,0.25536,-0.073643,a09,p1,s01
0.88873,0.25272,-0.078073,a09,p1,s01
0.88327,0.26557,-0.083737,a09,p1,s01
0.87103,0.30114,-0.090018,a09,p1,s01
0.84915,0.35852,-0.097376,a09,p1,s01
0.81659,0.43067,-0.085562,a09,p1,s01
0.78683,0.48975,-0.060333,a09,p1,s01
0.75668,0.5386,-0.044303,a09,p1,s01
0.71932,0.58627,-0.05004,a09,p1,s01
0.68224,0.62916,-0.063514,a09,p1,s01
0.64753,0.65935,-0.076685,a09,p1,s01
0.61628,0.68648,-0.085329,a09,p1,s01
0.59436,0.70879,-0.083329,a09,p1,s01
0.58049,0.72182,-0.074751,a09,p1,s01
0.57002,0.72941,-0.081116,a09,p1,s01
0.56335,0.73129,-0.085721,a09,p1,s01
0.55334,0.73797,-0.078809,a09,p1,s01
0.54389,0.74914,-0.053892,a09,p1,s01
0.54402,0.75178,-0.017232,a09,p1,s01
0.54585,0.74994,-0.008159,a09,p1,s01
0.55743,0.74133,-0.031644,a09,p1,s01
0.55342,0.72627,-0.14482,a09,p1,s01
0.5648,0.71117,-0.185,a09,p1,s01
0.5992,0.69326,-0.14297,a09,p1,s01
0.64722,0.65808,-0.11017,a09,p1,s01
0.68105,0.62233,-0.08679,a09,p1,s01
0.70793,0.59492,-0.063642,a09,p1,s01
0.73655,0.5613,-0.058685,a09,p1,s01
0.76366,0.52506,-0.046411,a09,p1,s01
0.78775,0.4898,-0.032964,a09,p1,s01
0.81123,0.44565,-0.022457,a09,p1,s01
0.83426,0.40204,-0.016338,a09,p1,s01
0.85221,0.36557,-0.018849,a09,p1,s01
0.86432,0.33786,-0.023881,a09,p1,s01
0.87315,0.31461,-0.019852,a09,p1,s01
0.87995,0.28697,-0.008875,a09,p1,s01
0.88699,0.26013,-0.001756,a09,p1,s01
0.89466,0.24251,-0.0021,a09,p1,s01
0.89337,0.24309,-0.012933,a09,p1,s01
0.8878,0.26428,-0.027607,a09,p1,s01
0.87091,0.30853,-0.041505,a09,p1,s01
0.85083,0.36212,-0.035132,a09,p1,s01
0.82771,0.41791,-0.018624,a09,p1,s01
0.80191,0.4678,-0.001066,a09,p1,s01
0.76865,0.51952,0.000824,a09,p1,s01
0.72228,0.58175,-0.005582,a09,p1,s01
0.67939,0.63251,-0.023227,a09,p1,s01
0.6398,0.67124,-0.043763,a09,p1,s01
0.60042,0.70678,-0.063722,a09,p1,s01
0.57291,0.72819,-0.067912,a09,p1,s01
0.55674,0.73751,-0.076154,a09,p1,s01
0.54882,0.74133,-0.085325,a09,p1,s01
0.54354,0.74681,-0.093289,a09,p1,s01
0.53777,0.75023,-0.097637,a09,p1,s01
0.53011,0.7527,-0.11422,a09,p1,s01
0.5259,0.74386,-0.1604,a09,p1,s01
0.53185,0.74013,-0.16452,a09,p1,s01
0.56144,0.72087,-0.15594,a09,p1,s01
0.60567,0.68801,-0.13087,a09,p1,s01
0.64801,0.65042,-0.12221,a09,p1,s01
0.68608,0.61214,-0.11212,a09,p1,s01
0.71086,0.5856,-0.10549,a09,p1,s01
0.72992,0.56018,-0.10303,a09,p1,s01
0.75193,0.53307,-0.0758,a09,p1,s01
0.7736,0.50684,-0.047701,a09,p1,s01
0.79982,0.46897,-0.022974,a09,p1,s01
0.81778,0.43551,-0.019248,a09,p1,s01
0.83425,0.4021,-0.023785,a09,p1,s01
0.85001,0.36482,-0.022626,a09,p1,s01
0.86044,0.34094,-0.016226,a09,p1,s01
0.86846,0.32021,-0.008673,a09,p1,s01
0.8763,0.30006,0.005538,a09,p1,s01
0.88443,0.27496,0.002904,a09,p1,s01
0.8881,0.25627,0.004124,a09,p1,s01
0.89472,0.23598,0.002897,a09,p1,s01
0.89838,0.21949,0.000739,a09,p1,s01
0.89885,0.21451,-0.013534,a09,p1,s01
0.89672,0.2228,-0.034672,a09,p1,s01
0.88873,0.25374,-0.045359,a09,p1,s01
0.87222,0.30313,-0.049454,a09,p1,s01
0.84955,0.36398,-0.045603,a09,p1,s01
0.82857,0.41196,-0.038387,a09,p1,s01
0.80637,0.45446,-0.031238,a09,p1,s01
0.77629,0.50533,-0.030004,a09,p1,s01
0.73879,0.55824,-0.038664,a09,p1,s01
0.70076,0.60175,-0.050894,a09,p1,s01
0.66867,0.63936,-0.049484,a09,p1,s01
0.63548,0.67395,-0.053317,a09,p1,s01
0.60588,0.69899,-0.069831,a09,p1,s01
